Timestamp,Please enter your worker ID,Please enter verification code from this writing session (session_id),Is English your first language?,"How qualified do you think you are to write about this topic? (based on background knowledge, understanding of prompts, etc.)?","During this writing session, the suggestions you received were grammatically correct, and contributed to the fluency of the essay.","During this writing session, the suggestions helped me come up with new ideas.","During this writing session, I felt like that I would have written a *better* essay if I wrote the essay alone.","During this writing session, the system was competent (having expert knowledge and ability to perform a task successfully) in writing.","During this writing session, the system was capable of writing persuasive essays.","During this writing session, the system understood what I was trying to write.",Which aspects of the suggestions (that you received during this writing session) can be improved? Any specific examples?,It was easy to write with the system.,I am satisfied with the essay I wrote.,I am confident in my ability to write an essay with the help of the system.,I feel like the essay is mine. ,____% of the essay is written by me (and the rest is written by taking the suggestions). [between 0-100%],"If the system is available for free, I would reuse the system.",Any feedback/comment? (optional)
8/23/2021 9:12:03,A1VZSFHTU51JP0,acfb5f25d1ce43cab27b6e945b14dd1e,Yes,You are fairly confident in your qualification.,1,1,7,1,1,2,Just more results. It hardly produced any suggestions at all. ,1,3,2,7,95,1,"There was an issue with it causing my antivirus to flag the page when I hit tab, so I had to restart the writing task. I'd never seen that happen before. "
8/23/2021 11:13:32,A1VZSFHTU51JP0,fd520baa3a5a4cd3967318729d67382f,Yes,You are fairly confident in your qualification.,2,1,7,2,2,3,More options and less ones that restate the same things. ,1,2,2,5,95,1,On some of these there's no suggestions at all for long blocks of time so I'm having to write more by myself. 
8/23/2021 12:51:18,A1VZSFHTU51JP0,afa0f80124e94b3b9793b29f814765c4,Yes,You are absolutely certain about your qualification.,7,6,1,7,7,7,Just more variety of suggestions in each block. ,7,6,7,4,70,7,
8/24/2021 7:02:15,A1VZSFHTU51JP0,266f0df3fa994ce1b0b8b37da8169d62,Yes,"You are confident in your qualification, but not absolutely certain.",6,4,4,6,5,7,They can be more varied in general. ,6,5,6,6,80,6,
8/26/2021 15:00:32,A1VZSFHTU51JP0,3959b06dd9344c6aa484b3d6b14b4a27,Yes,You are absolutely certain about your qualification.,7,5,1,6,6,7,There is nothing I can think of to improve this time other than more suggestions at the end as it ran out.,7,5,7,4,70,6,
8/26/2021 22:50:54,A1VZSFHTU51JP0,c3c6c170b591441d84438080a0493828,Yes,"You are confident in your qualification, but not absolutely certain.",2,1,7,2,1,3,"It could have more suggestions later on. It only had a few at the start, repeated them throughout and then just had none by the end. ",1,3,2,7,95,1,
8/26/2021 23:14:34,A1VZSFHTU51JP0,a9feecdb84e14399936bbbe1eb2bbfd7,Yes,"You are confident in your qualification, but not absolutely certain.",4,4,3,4,4,5,"It could stop throwing dates in as suggestions such as Feb 16, 2013. I'm not sure what that had to do with anything. ",4,2,3,2,80,2,
8/26/2021 23:43:22,A1VZSFHTU51JP0,027db48dd5c84f9ebe6a19c5ac9ce502,Yes,You are absolutely certain about your qualification.,4,1,5,3,3,4,It could have more varied responses that apply to what is being written. ,3,5,4,5,90,3,
8/27/2021 0:43:48,A1VZSFHTU51JP0,7f7139dd71de4963accdfb9d471836a8,Yes,"You are willing to defend your qualification, but it is quite likely that you did not understand central parts of the prompt or that you are unfamiliar with some pieces of background knowledge.",3,1,7,2,1,3,It seemed to get confused and kept repeating only two competing arguments for a while. It seemed stuck so maybe that could be fixed. ,2,5,2,7,90,1,
8/27/2021 1:34:58,A1VZSFHTU51JP0,01bc6cf8deb24d5e8877daac7cb4d086,Yes,You are absolutely certain about your qualification.,6,3,3,6,5,7,Just suggestions that are more relevant as some were a little off. ,7,6,7,6,85,7,
8/27/2021 2:08:36,A1VZSFHTU51JP0,ba74a6b6e52d42318d8ab8ab67651632,Yes,You are absolutely certain about your qualification.,6,6,1,6,5,6,Some suggestions were cut off at the end like doctor's office was missing the word office.,6,7,7,6,75,7,
8/27/2021 2:34:46,A1VZSFHTU51JP0,6fd58f906fe945bcbfbb07fe84816bc3,Yes,You are fairly confident in your qualification.,6,1,7,4,1,3,It didn't have suggestions for most of the task so that could be improved. ,2,6,4,7,90,2,
8/27/2021 4:17:04,A1VZSFHTU51JP0,3d0be5ccb3ba4bf7aa4f243e70dcafd3,Yes,You are absolutely certain about your qualification.,5,2,5,3,2,3,It kept just repeating its first suggestion rather than new ones as the story progressed so that could stand to be improved. ,3,6,3,7,85,3,
8/27/2021 4:36:55,A1VZSFHTU51JP0,3cd70a8705814f8eb1344dca49679aee,Yes,You are absolutely certain about your qualification.,7,5,3,5,5,6,The initial suggestions were really specific and hard to work in. One for example was about Interview with the vampire and I couldn't fit that in. The suggestions improved later though and were helpful.,5,6,7,5,75,7,I ended up struggling to figure out what to write at the start as the suggestions were hard to fit in. 
8/27/2021 11:17:24,A1VZSFHTU51JP0,02aa8f6a107341ceb9cd2ef1a43da832,Yes,You are absolutely certain about your qualification.,3,1,7,2,1,2,It kept repeating the same suggestions. In general when I've done this exact task before it seems to have trouble coming up with suggestions.,1,6,1,7,90,1,
8/28/2021 15:49:45,A1VZSFHTU51JP0,c0ddb4d2d0554f3aacd95fcd3c4bd4eb,Yes,You are absolutely certain about your qualification.,4,2,6,2,2,4,It could repeat the initial suggestions less often.,3,5,3,6,85,2,
8/28/2021 16:37:40,A1VZSFHTU51JP0,748af209d9014eeb9a66146e3db9a1d3,Yes,"You are confident in your qualification, but not absolutely certain.",5,3,4,5,5,6,It just suggested things that were extensions of what was already being written rather than new ideas. ,6,4,6,6,80,5,
8/28/2021 17:05:55,A1VZSFHTU51JP0,0435d4e4088e4592a339c301328c157c,Yes,You are absolutely certain about your qualification.,7,3,1,7,6,7,It often tends to just give things to add to the story rather than giving new ideas when you are writing an essay. ,7,6,7,5,75,7,
8/30/2021 7:28:04,A1VZSFHTU51JP0,ebe81e9a3f3943e0bbfccca97f752e41,Yes,You are absolutely certain about your qualification.,5,5,1,5,4,5,It could stop repeating the same ideas throughout. ,5,6,7,5,75,7,
8/30/2021 8:26:41,A1VZSFHTU51JP0,6d9089d1570347fbb352497546c663fd,Yes,You are absolutely certain about your qualification.,5,2,7,3,3,3,"It kept repeating the same initial lines of ""I think technology has made dating easier"" through the entire task.",4,6,5,7,85,4,
8/30/2021 13:05:33,A1VZSFHTU51JP0,cd99ed0ca6f244039d82b04f4e9fdc60,Yes,You are absolutely certain about your qualification.,6,6,2,6,5,7,There could be less sports suggestions.,6,7,7,5,65,7,
8/30/2021 22:14:41,A1VZSFHTU51JP0,b8f3d57696324094950711edd32a4fd4,Yes,You are absolutely certain about your qualification.,4,1,6,4,3,3,"It could stop repeating its first suggestions like ""I don't think its offensive but it is annoying"". That kept popping up. ",3,2,3,6,90,1,
8/31/2021 8:55:11,A1VZSFHTU51JP0,1855af9b837c4635a227739875aae193,Yes,You are absolutely certain about your qualification.,5,4,4,5,4,4,It can repeat less of the same suggestions that I'd decided not to use. ,4,6,6,7,85,5,
9/3/2021 11:08:23,A1VZSFHTU51JP0,9263032ff341476289f96ee1651ddd5a,Yes,"You are confident in your qualification, but not absolutely certain.",6,2,1,6,5,7,There was one broken sentence and some one word suggestions. ,7,7,7,5,70,7,
9/3/2021 11:49:29,A1VZSFHTU51JP0,ffa97e9f02214fdaad83cabea410c1d9,Yes,You are absolutely certain about your qualification.,1,1,7,1,1,2,"It kept repeating the same things ""I think the most offensive stereotypical characters are the ones used to make a point"". It also started just using things I already wrote as suggestions.",1,2,1,5,95,1,
9/3/2021 18:50:34,A1VZSFHTU51JP0,6eaf9b00bf214c9e87a914740242b985,Yes,You are absolutely certain about your qualification.,6,4,2,5,5,6,Some suggestions could be removed such as a website URL that seemed really random. ,5,6,7,5,75,7,
9/3/2021 19:26:11,A1VZSFHTU51JP0,1ca38e46688e4a758b4c626ce2ba2ff6,Yes,You are fairly confident in your qualification.,6,5,1,6,6,7,There could be fewer suggestions that are more focused. ,7,7,7,4,65,7,
9/3/2021 19:51:23,A1VZSFHTU51JP0,bd00c8e367554d4287e83dee669b96ed,Yes,You are fairly confident in your qualification.,7,5,1,7,7,7,There was a URL provided as a suggestion that was out of place. ,7,7,7,1,55,7,
9/3/2021 20:13:28,A1VZSFHTU51JP0,a4fcbdfc711c4a17ad9acebee41ae6a3,Yes,"You are confident in your qualification, but not absolutely certain.",4,3,4,3,3,4,It could have less suggestions that are questions as they are hard to fit in. ,4,5,6,6,80,4,
8/19/2021 9:44:24,A1WKF2VH7TV0H2,8db57b4ba7e048a9bf984a13233f3cf9,Yes,You are absolutely certain about your qualification.,5,3,4,3,2,3,"it didn't give me many suggestions, only one or two.",3,5,6,7,95,4,
8/26/2021 4:29:31,A23KAJRDVCVGOE,c122541b81664615bcc5f3c2bebad597,Yes,You are fairly confident in your qualification.,6,3,3,3,4,5,need a wide variety of topics i feel the AI topics were repeated ,5,6,5,3,90,5,
8/29/2021 5:43:40,A23KAJRDVCVGOE,f1c71be96fd04e3f8008c90725349283,Yes,"You are confident in your qualification, but not absolutely certain.",3,1,3,2,1,2,the system could not provide any new info for me,3,4,5,7,90,3,
9/5/2021 6:32:39,A23KAJRDVCVGOE,0a08f7fd748246c8ad4e353edb7e2394,Yes,"You are confident in your qualification, but not absolutely certain.",5,1,7,1,1,1,the system did not come up with any suggestion ,2,5,3,7,99,2,
8/30/2021 12:46:35,A2BPXWBO2OSJRP,5107cf5a8ad048e99b0d92892e98d40a,Yes,"You are confident in your qualification, but not absolutely certain.",6,7,1,6,4,5,"Sometimes there was a lack of fluency, but many suggestions gave me helpful segue ideas.",6,6,7,5,95,7,
8/19/2021 2:23:01,A2EED3HLTA96CP,6efda955ff5643aab9d94b60c4b1cdee,Yes,You are absolutely certain about your qualification.,5,4,4,4,4,4,"I was able to use 4 sentences, and they were all almost a restatement of what I had already written. They were time-saving tidbits, not creative input. The AI was lost here.",7,7,7,6,90,5,
8/19/2021 3:12:11,A2EED3HLTA96CP,8fa18f2fac174742b19861bb9f802345,Yes,You are absolutely certain about your qualification.,3,1,7,2,2,1,"The AI phoned it in here. I used  3 sentences out of duty, but most of the suggestions were ""What do you think?"". I used it for the last sentence, but: really? This is my second essay written with AI and so far it is just a shadow of that it was for fiction.",2,6,7,7,93,4,
8/19/2021 3:45:26,A2EED3HLTA96CP,13746247c1024f0493dca4d1d2173719,Yes,You are absolutely certain about your qualification.,7,6,1,7,7,6,"For the first half of the essay, the AI seemed lost. But then it appeared to rally and I used three sentences in a row near the end as I liked the rhetorical flourish. I was impressed with AI's help here.",7,6,7,6,65,7,
8/19/2021 3:59:54,A2EED3HLTA96CP,c7dc5563ed07478f9284190b6085f4d3,Yes,You are absolutely certain about your qualification.,7,6,1,7,7,7,"The suggestions were uniformly good, and were especially helpful during the last few minutes.",7,7,7,6,65,7,"I have adopted an AI suggestion, ""what do you think?"" as part of my essay boilerplate, which is a massive affirmation of the utility of this AI tool."
8/19/2021 4:36:24,A2EED3HLTA96CP,108dc8943a93452cb3d9321ceab2e989,Yes,You are absolutely certain about your qualification.,6,2,4,6,5,6,"This essay was highly personal. I knew where I was going, so the AI took a back seat. Nevertheless, at key points the AI was ready with a succinct phrase or suggestion that helped me write.",7,6,7,7,80,7,
8/19/2021 5:16:10,A2EED3HLTA96CP,780c48b1977548dfa5e66adf6b2f9d51,Yes,You are absolutely certain about your qualification.,6,7,1,7,7,7,"Since I was arguing a position with which I do not actually agree, I relied on the AI to provide forward discursive motion, and it more than adequately filled this role.",7,6,7,5,45,7,
8/19/2021 13:27:33,A2EED3HLTA96CP,9f2ba74210184ca1843adc31044612bb,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,4,"I asked the system for a first sentence: it served it up and I ran with it. Near the end, it supplied a nice rhetorical flourish which I modified but used happily. A true collaboration.",7,7,7,6,55,7,
8/19/2021 13:53:53,A2EED3HLTA96CP,1d62258005fb48a481225aed62066b36,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,I used system suggestions here more than any other essay. I was actually more an editor than a writer!,7,5,7,2,25,7,
8/20/2021 3:17:06,A2EED3HLTA96CP,244d645564d1493f993123ac70f899e4,Yes,"You are confident in your qualification, but not absolutely certain.",7,4,4,6,4,3,"One thing I have noticed: if the system offers multiple sentences you may want to use a few, especially if they fit well together. But once you pick one, it seems impossible to get the sentences back to choose another from an offered set. There should be a way to recall the last set of suggestions. This is irritating and unnecessary.",5,5,5,7,80,7,
8/20/2021 3:30:01,A2EED3HLTA96CP,626c3c43e024479baaa6948e2c4b6e27,Yes,"You are confident in your qualification, but not absolutely certain.",5,3,5,6,4,3,"The system was a bit lost here. It provided the first sentence, a few restatements of what I already wrote (some of which I added, but not at the point of suggestion) and that's about it.",5,5,7,7,75,7,
8/20/2021 3:58:02,A2EED3HLTA96CP,6e931e7308f94a198553a8f24c8feb5e,Yes,"You are confident in your qualification, but not absolutely certain.",7,7,1,7,6,6,"I looked up a movie to write about and was amazed that the system knew all about that movie, which made much of the writing a breeze and saved me research time.",7,6,7,4,55,7,
8/20/2021 4:44:30,A2EED3HLTA96CP,913991c2f1c843f68d2f549533418965,Yes,You are absolutely certain about your qualification.,4,3,7,2,2,2,"The system was a spectator here. I checked with it many times, and did use a couple of sentences, but these sentences did not greatly add to the essay.",4,4,7,7,90,7,
8/20/2021 5:00:07,A2EED3HLTA96CP,0b755c9e2338496587d0b88471056e6b,Yes,You are absolutely certain about your qualification.,7,5,1,5,7,6,"The system was useful in filling in a number of key sentences, which had both flow and relevancy. The language was slightly awkward but easily fixable.",7,5,7,7,65,7,
8/20/2021 5:38:01,A2EED3HLTA96CP,52c100caa73b4d7ba9185287b8863362,Yes,"You are confident in your qualification, but not absolutely certain.",4,2,4,4,4,2,"I wrote about a rather narrow aspect of online dating, and the system was only able to offer platitudinous generalities. This is unfortunate as I could have really used the help.",4,4,5,7,92,6,
8/20/2021 6:13:15,A2EED3HLTA96CP,3b62a2036d2643faa4590b94c3fb0d35,Yes,You are absolutely certain about your qualification.,6,2,4,5,4,5,"The system suggestions here were workmanlike, though a bit awkwardly phrased. I used a few sentences more to save typing than out of any enthusiasm. The AI can and has done better in other sessions.",7,4,7,7,75,7,
8/20/2021 6:57:10,A2EED3HLTA96CP,f84d42f7c64c4b92b75b3d718a99c8c4,Yes,You are absolutely certain about your qualification.,2,2,6,1,1,1,"One sentence: that is the sum of useful suggestions throughout this essay. The system offered topics  and the restatement of vapid generalities, again and again, and when it wasn't doing that it was returning null sets.  The worst performance I've seen.",1,4,7,7,95,4,
8/23/2021 5:09:44,A2EED3HLTA96CP,4ef600b3d75344abaad59aadc0fe200a ,Yes,You are absolutely certain about your qualification.,3,1,6,4,4,2,"Although I had great fun writing this essay, the AI was a spectator here. I used a few of the suggested sentences out of a sense of duty, but I kept seeing the same vapid suggestions through the writing. When I tried to get a concluding sentence (something the AI is often good at) I got nada.",4,7,7,7,92,7,
8/23/2021 5:33:01,A2EED3HLTA96CP,ea10c484cd6245f6a5840eea4b4b143b ,Yes,"You are confident in your qualification, but not absolutely certain.",4,2,7,4,5,4,"Though the system suggestions were grammatical, they never progressed apace to any of the arguments I was making. The sentences I used from the suggestions barely fit with the tone I wanted. Not a great showing for the AI.",4,5,7,6,90,6,
8/23/2021 5:49:55,A2EED3HLTA96CP,a8e549506ba24360a68afdc95e094e57 ,Yes,"You are confident in your qualification, but not absolutely certain.",3,1,4,4,4,2,I could have used much more help than the system gave me. I saw the same sentences multiple times. This was a failure on the part of the AI in my opinion.,3,3,7,7,92,7,
8/23/2021 6:06:47,A2EED3HLTA96CP,406e98d0ec3c412397412ac18367d491 ,Yes,"You are confident in your qualification, but not absolutely certain.",6,4,2,6,6,2,"The suggestions here were good, but were more restatements of what I already wrote than a prod for new directions. The point expressed 3 paragraphs from the end (about ""prerequisites"") was a great AI suggestion but should have come earlier.",6,4,7,5,67,7,
8/23/2021 6:41:51,A2EED3HLTA96CP,ba5029002a8e486f98404e68e850a3b5 ,Yes,You are absolutely certain about your qualification.,7,2,4,7,6,7,"I was surprised that the system was able to summarize my argument well (""There is really no morally relevant..."") almost immediately. An impressive performance! I was quite certain of my argument so I did not need ideas, just help, which I received.",7,6,7,6,67,7,
8/23/2021 7:01:07,A2EED3HLTA96CP,d40c6dfd679b4152b3f9334e56053ecf ,Yes,You are fairly confident in your qualification.,7,6,1,6,7,7,"This was a true collaboration, and the system was the source of many good sentences, some of which I used.",7,6,7,4,53,7,
8/23/2021 7:27:14,A2EED3HLTA96CP,4831f92b228149c191708a694807853e ,Yes,You are fairly confident in your qualification.,7,6,1,6,6,6,"Except for one gap where it had nothing to offer for a while (about 80% of the way through), the AI was useful and helpful here.",7,7,7,4,60,7,
8/23/2021 7:49:14,A2EED3HLTA96CP,d4759814eb5d4d17bfcbe373d0947e58 ,Yes,"You are confident in your qualification, but not absolutely certain.",7,6,1,7,7,7,The system wrote two paragraphs virtually in their entirety. A virtuoso performance by the AI.,7,6,7,4,50,7,
8/23/2021 8:06:54,A2EED3HLTA96CP,25e8108b41f54a0ebfffb047cccf0f30 ,Yes,You are fairly confident in your qualification.,4,1,5,3,3,2,"I think at least a dozen requests for help went answered with null sets, maybe more. I was open to using the system suggestions but it seemed not to understand the simple argument that college student athlete incomes be placed in trust. I was ""hung out to dry"" by the AI here.",4,5,5,7,93,6,
8/23/2021 9:35:06,A2EED3HLTA96CP,9d434f5659c34d98bc3fe8a4bb5a4a91 ,Yes,You are absolutely certain about your qualification.,5,5,3,5,5,5,"This was the tale of two writings. The first half was replete with the message ""No suggestions to be shown"" from writingwithai.glitch.me, but the second half featured three paragraphs mostly contributed by AI.",5,5,7,5,60,7,
8/23/2021 11:37:39,A2EED3HLTA96CP,092396c287e54c3d9454ba20bb1ccc83 ,Yes,"You are confident in your qualification, but not absolutely certain.",7,5,1,7,6,6,"The AI contributed many grammatical and well-written sentences, many of which I used as is.",6,6,7,4,57,7,
8/23/2021 11:57:03,A2EED3HLTA96CP,616c20d27921488686ac8d50bf911c9a ,Yes,You are absolutely certain about your qualification.,4,2,6,2,2,2,The system failed to understand that I was arguing for the moral parity of humans and animals. The suggested sentences were either way off base or null sets. I had to feed the AI simple ideas near the end so I could use something from the system.,4,5,7,7,91,7,
8/24/2021 2:50:47,A2EED3HLTA96CP,a37397d4adbe4733a8026d82dcf8d7a0 ,Yes,"You are confident in your qualification, but not absolutely certain.",6,6,1,6,6,5,"I was surprised to see ""government"" spelled wrong in a suggestion. Other than that, the AI rose to the occasion and helped me argue a very far-out thesis.",7,6,7,5,65,7,
8/24/2021 3:05:38,A2EED3HLTA96CP,4e45f719739a423899b044f67aee9eb0,Yes,"You are confident in your qualification, but not absolutely certain.",6,6,1,6,7,7,"This was a highly collaborative session, More than half of the essay was written by the system.",7,7,7,4,40,7,
8/24/2021 3:45:46,A2EED3HLTA96CP,fcd4884cb1ad44e0b1a1e1304cd61cb0 ,Yes,You are absolutely certain about your qualification.,7,3,4,5,7,5,"The AI was great at supplying sentences relating to what I had already written, but was never able to meaningfully advance the thesis for which I was arguing.",7,5,7,6,65,7,
8/24/2021 4:43:57,A2EED3HLTA96CP,f1d70b54c33f475192d3f503a4c6fd84 ,Yes,You are absolutely certain about your qualification.,6,6,4,7,7,6,"I tried something new here: I let the AI write whole paragraphs of the beginning and than I followed its lead the rest of the way. I think my sentences were more fluent, but the AI-supplied writing was not bad and the experience of collaboration was a pleasant one.",7,5,7,3,46,7,
8/24/2021 5:26:09,A2EED3HLTA96CP,e829b10c37c44068b58804a38e1f4840,Yes,You are absolutely certain about your qualification.,6,4,4,4,4,3,"I was advancing an unusual thesis so the AI was not much help with the nuts and bolts of the argument. Nevertheless, I used several of the system's sentences early on, and found them helpful.",7,4,7,6,79,7,
8/24/2021 6:32:01,A2EED3HLTA96CP,a215d4b3242a4e999ee6fafdd793cac6 ,Yes,You are absolutely certain about your qualification.,7,4,1,7,5,6,"The system was able to write about National Library Service for the Blind and Physically Handicapped as an expert, and to know the reason why the offerings of that service were aesthetically limited. That is impressive and shows considerable cultural literacy. I used this information and was impressed.",7,5,7,5,75,7,
8/24/2021 10:10:16,A2EED3HLTA96CP,73339baf931847a2be52f80f66252a1b,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,"The system was a great collaborator and provided many of the key sentences in this essay. I supplied the thesis, but the AI quickly appropriated, understood, and ran with it.",7,6,7,4,50,7,
8/27/2021 7:58:04,A2ONILC0LZKG6Y,9f78d6e56aac47f6a4927dc231cc6f98,Yes,"You are confident in your qualification, but not absolutely certain.",6,3,5,6,3,4,"A lot of the suggestions kept coming back to the same point, and while I used it once I didn't want to keep repeating the same thing over and over. In fact most of the suggestions were repetitive. ",4,2,3,5,85,4,
8/27/2021 8:24:21,A2ONILC0LZKG6Y,825d93ee72ec4f8390286a45eca1a2a6,Yes,"You are willing to defend your qualification, but it is quite likely that you did not understand central parts of the prompt or that you are unfamiliar with some pieces of background knowledge.",6,6,3,6,5,4,"It was helpful with providing facts (I hope they were facts, I just trusted the info) and supporting my points to finish them off/expand on them slightly. But when I was actually stuck, needing to move on, it wasn't helpful. The suggestions either went back to previous points, or didn't make sense.",5,3,4,5,80,4,
8/27/2021 8:56:18,A2ONILC0LZKG6Y,2465c23b3c7e4d1dac1c5ee02bc878d7,Yes,You are absolutely certain about your qualification.,6,5,3,6,5,5,"It latched on the the idea of ""being responsible"" early on, but just kept restating that point for the most part. That may be because I mostly asked for suggestions at the end of a sentence rather than the middle. The suggestions seemed more varied mid-sentence.",6,5,5,5,85,5,
8/27/2021 12:29:04,A2ONILC0LZKG6Y,f86105405d7d4c87bbfcd6b91d5d53a3,Yes,You are fairly confident in your qualification.,3,3,5,4,4,5,"A couple of times some of the suggestions didn't make sense - like the system got half way through a prompt and just started putting related but not coherent words together. Also, all of the suggestions seem to relate to the entire piece at is written, and most closely to the most recent sentences written. Which is probably good as a whole. But makes it unhelpful when you want to go back and beef up something from earlier in the writing (since even if you move your cursor up to a previous paragraph the suggestions will still be most closely related to the last couple of sentences)",4,4,4,6,90,3,
8/30/2021 8:08:34,A2ONILC0LZKG6Y,95804c7277db4d538b06492830bed43c,Yes,"You are willing to defend your qualification, but it is quite likely that you did not understand central parts of the prompt or that you are unfamiliar with some pieces of background knowledge.",6,2,4,4,3,3,"The suggestions just weren't very helpful - no useful facts, no ideas or points. Mostly just repeating the same thing over and ovr, including the one point it suggested that I had already used. ",4,4,5,6,95,4,
8/19/2021 14:51:27,A2OVOVZBJYUO,506752c9b184496994a69279e5d63610,Yes,You are fairly confident in your qualification.,4,4,3,4,4,5,Some suggestions didn't really make sense. I also had to edit some sentences due to grammatical errors.,6,4,5,5,86,6,
9/5/2021 14:58:23,A2OVOVZBJYUO,99787c0818c64ba1b67cb399e5b88039,Yes,You are fairly confident in your qualification.,4,1,4,1,1,2,It felt like it didn't have suggestions for me the majority of my attempts.,4,1,4,6,95,6,
8/26/2021 15:54:36,A2QKAA5YS0P4CI,4cf7657748194823a3c4349e8a469c99,Yes,You are absolutely certain about your qualification.,6,6,2,6,6,6,It seems that the suggestions stayed on topic approx. 85% of the time. Some of the time there were only two or three suggestions,6,7,7,7,60,7,
8/31/2021 15:21:41,A2QKAA5YS0P4CI,fb5e90d056b14b128c73f0d7cd366304,Yes,You are absolutely certain about your qualification.,1,1,7,1,1,1,The system kept saying over and over that there were no suggestions and to try again. I only got two valid suggestions for the entire essay,1,7,1,7,99,1,
8/22/2021 5:51:30,A2QX3YJXAAHHVV,95b8a64db3d3471f9662d0019357059d,Yes,"You are confident in your qualification, but not absolutely certain.",6,5,1,7,6,7,"The AI wanted to credit particular schools and teachers, rather than focus on crediting the topic for the positive effects. ""This was a topic at the Julliard School"" ""Mr. Grey taught me this."" Etc. ",7,7,7,7,80,7,"The Ai did a good job of fleshing out the topic, once I had a few sentences written. Before I had that written, however, it wanted to put schools, teachers, and authors as being credited for the positive effects I gained from a topic. It has done the same thing on the Creative task, wanting to credit studios/authors/producers. "
8/22/2021 6:06:38,A2QX3YJXAAHHVV,478d7bee3c53454fb80f423138913c4f,Yes,You provided an educated guess. The topic is not in your area of expertise or the prompt was difficult to understand.,7,7,1,7,7,7,"I am not a woman, or who reads Romance novels, but the AI apparently is! It did a grand job of writing this time; beside grammar and formatting, there is nothing I saw that could be improved!",7,7,7,7,20,7,Apparently the AI is an expert on women's romance novel characters. This was the best essay and suggestions I've ever seen it do!
8/22/2021 6:29:29,A2QX3YJXAAHHVV,bb820561ffe24e01ab3be7abb8d325a6,Yes,"You are confident in your qualification, but not absolutely certain.",7,6,1,6,6,5,"The system got ""stuck"" several times, wanting to repeat or paraphrase existing sentences. It didn't have enough knowledge of Native American stereotypes.",6,7,6,7,80,7,"I got a good laugh as the AI was generating stereotypes for Native Americans. ""The blond-haired blue-eyed uber-man..."" No AI, that's Nazis, not Native Americans. Made me laugh!"
8/22/2021 6:47:03,A2QX3YJXAAHHVV,b28b4e5e12c24f80a9e3bf0f3d9cf030,Yes,"You are confident in your qualification, but not absolutely certain.",6,7,2,6,7,7,"The system knew the phase ""dumb blonde"", but didn't know anything about the specific stereotypes associated with the phrase.  It could have a more fleshed out knowledge of specific stereotypes. ",7,7,7,6,70,7,"This is the second essay where the AI knew of a stereotype, but not specific information about it. It wanted to put that ""Dumb Blondes"" were mute. "
8/22/2021 7:03:54,A2QX3YJXAAHHVV,b6211411e58a4a5e8b7f0a2754d4b429,Yes,You are fairly confident in your qualification.,7,6,1,4,7,5,"The AI struggled with the theme ""Technology is a tool we use"", and kept running out of useful suggestions on relationships/dating.",6,7,7,7,90,7,Ai had a particularly hard time with this prompt. It gave many unrelated suggestions. 
8/22/2021 7:23:33,A2QX3YJXAAHHVV,6aebd1be61b34dd1a3154f471c891647,Yes,You provided an educated guess. The topic is not in your area of expertise or the prompt was difficult to understand.,6,7,1,5,5,6,"The Ai kept wanting to reference schools and teachers ""USD 295, Coach Carter"" etc. This type of essay doesn't need credits/references to famous schools/activities",6,6,6,7,80,7,This was a difficult topic for the AI. It wanted to reference schools/teachers like credits for a movie. 
8/22/2021 7:42:41,A2QX3YJXAAHHVV,f9ca19925c9f4e7ca77044766549ea83,Yes,"You are confident in your qualification, but not absolutely certain.",6,6,1,6,6,6,"The system wanted to do recommendations involving proper nouns: ""Dr X. says to do this, Carnegie Mellon Studies, A focus group says this, etc"".  It needed to have more realistic recommendations to overusing screen time. No real doctor would say that playing video games improves screen time. It does just the opposite. They might say to walk your dog every hour, though. ",7,7,6,7,70,7,AI had issues with referencing People/places incorrectly. It wants to credit them in a movie-style format. 
8/22/2021 8:03:01,A2QX3YJXAAHHVV,ae1a4e491d3045dc9cac0b30f832667e,Yes,"You are confident in your qualification, but not absolutely certain.",7,7,1,6,7,7,"There were several unrelated source references. ""This is a book by X"" ""Adapted for dramatization by X"" Otherwise, the AI did a great job, with smooth, flowing, and relevant examples, and (though false) personal experiences. ",7,7,7,7,50,7,This tone of essay seems to work well for the AI. It had many great and relevant suggestions. 
8/22/2021 8:20:43,A2QX3YJXAAHHVV,06a646f4746648eebec3e1869b713d7e,Yes,"You are confident in your qualification, but not absolutely certain.",4,7,2,7,6,6,"The Ai ran out of suggestions, when expounding on how Math, reading and writing were important. It kept wanting to say the same thing, or had no suggestions.",7,7,6,7,70,7,"AI ran out of answers/clarifications on this topic. Had many suggestion errors, with no prompts. "
8/22/2021 8:38:00,A2QX3YJXAAHHVV,114dfaf5c4a0437880b6829c92b9dce8,Yes,"You are confident in your qualification, but not absolutely certain.",6,7,2,7,7,7,The phrasing of the suggestions was not widely-varied. It wanted to use 90% the same words with only minor changes to the sentence. ,7,7,7,7,70,7,"AI was stuck on the same phases a couple of times, even though we had already written them. There were no new ideas. "
